"","date","yn","day","night","dd","month","year"
"190",2016-02-17,1,0,0,1,2,2016
"191",2016-02-18,0,0,0,0,2,2016
"192",2016-02-19,1,1,0,1,2,2016
"193",2016-02-20,1,1,0,0,2,2016
"194",2016-02-21,1,1,0,1,2,2016
"195",2016-02-22,1,1,0,1,2,2016
"196",2016-02-23,1,1,0,1,2,2016
"197",2016-02-24,1,1,0,1,2,2016
"198",2016-02-25,1,1,0,1,2,2016
"199",2016-02-26,1,1,0,1,2,2016
"200",2016-02-27,1,1,0,1,2,2016
"201",2016-02-28,1,1,0,0,2,2016
"202",2016-02-29,1,1,0,0,2,2016
"203",2016-03-01,1,1,0,0,3,2016
"204",2016-03-02,1,1,0,1,3,2016
"205",2016-03-03,1,1,0,1,3,2016
"206",2016-03-04,1,1,0,0,3,2016
"207",2016-03-05,0,0,0,0,3,2016
"208",2016-03-06,1,1,0,0,3,2016
"209",2016-03-07,0,0,0,0,3,2016
"210",2016-03-08,0,0,0,0,3,2016
"211",2016-03-09,1,0,0,1,3,2016
"212",2016-03-10,1,0,0,1,3,2016
"213",2016-03-11,0,0,0,0,3,2016
"214",2016-03-12,1,1,0,1,3,2016
"215",2016-03-13,1,1,0,0,3,2016
"216",2016-03-14,0,0,0,0,3,2016
"217",2016-03-15,0,0,0,0,3,2016
"218",2016-03-16,0,0,0,0,3,2016
"219",2016-03-17,1,1,0,0,3,2016
"220",2016-03-18,0,0,0,0,3,2016
"221",2016-03-19,1,1,0,1,3,2016
"222",2016-03-20,1,1,0,1,3,2016
"223",2016-03-21,0,0,0,0,3,2016
"224",2016-03-22,0,0,0,0,3,2016
"225",2016-03-23,1,1,0,1,3,2016
"226",2016-03-24,1,1,0,1,3,2016
"227",2016-03-25,0,0,0,0,3,2016
"228",2016-03-26,0,0,0,0,3,2016
"229",2016-03-27,0,0,0,0,3,2016
"230",2016-03-28,0,0,0,0,3,2016
"231",2016-03-29,1,1,0,0,3,2016
"232",2016-03-30,1,1,0,1,3,2016
"233",2016-03-31,1,1,0,1,3,2016
"234",2016-04-01,0,0,0,0,4,2016
"235",2016-04-02,1,1,0,0,4,2016
"236",2016-04-03,1,1,0,1,4,2016
"237",2016-04-04,0,0,0,0,4,2016
"238",2016-04-05,1,1,0,1,4,2016
"239",2016-04-06,0,0,0,0,4,2016
"240",2016-04-07,1,1,0,0,4,2016
"241",2016-04-08,1,1,0,1,4,2016
"242",2016-04-09,1,1,0,1,4,2016
"243",2016-04-10,1,1,0,1,4,2016
"244",2016-04-11,1,1,0,1,4,2016
"245",2016-04-12,1,1,0,1,4,2016
"246",2016-04-13,1,1,0,1,4,2016
"247",2016-04-14,0,0,0,0,4,2016
"248",2016-04-15,0,0,0,0,4,2016
"249",2016-04-16,1,1,0,0,4,2016
"250",2016-04-17,1,1,0,1,4,2016
"251",2016-04-18,1,0,0,1,4,2016
"252",2016-04-19,1,1,0,1,4,2016
"253",2016-04-20,1,1,0,0,4,2016
"254",2016-04-21,1,1,0,1,4,2016
"255",2016-04-22,1,1,0,1,4,2016
"256",2016-04-23,0,0,0,0,4,2016
"257",2016-04-24,0,0,0,0,4,2016
"258",2016-04-25,0,0,0,0,4,2016
"259",2016-04-26,0,0,0,0,4,2016
"260",2016-04-27,1,1,0,1,4,2016
"261",2016-04-28,0,0,0,0,4,2016
"262",2016-04-29,0,0,0,0,4,2016
"263",2016-04-30,1,1,0,0,4,2016
"264",2016-05-01,1,1,0,1,5,2016
"265",2016-05-02,1,1,0,1,5,2016
"266",2016-05-03,0,0,0,0,5,2016
"267",2016-05-04,1,1,0,0,5,2016
"268",2016-05-05,1,1,0,1,5,2016
"269",2016-05-06,0,0,0,0,5,2016
"270",2016-05-07,1,0,0,1,5,2016
"271",2016-05-08,1,1,0,0,5,2016
"272",2016-05-09,1,1,0,1,5,2016
"273",2016-05-10,1,1,0,1,5,2016
"274",2016-05-11,1,1,0,0,5,2016
"275",2016-05-12,1,1,0,1,5,2016
"276",2016-05-13,1,1,0,1,5,2016
"277",2016-05-14,1,1,0,1,5,2016
"278",2016-05-15,1,1,0,0,5,2016
"279",2016-05-16,0,0,0,0,5,2016
"280",2016-05-17,1,1,0,0,5,2016
"281",2016-05-18,1,1,0,0,5,2016
"282",2016-05-19,0,0,0,0,5,2016
"283",2016-05-20,0,0,0,0,5,2016
"284",2016-05-21,1,1,0,1,5,2016
"285",2016-05-22,1,1,0,1,5,2016
"286",2016-05-23,1,1,0,0,5,2016
"287",2016-05-24,1,1,0,1,5,2016
"288",2016-05-25,1,1,0,1,5,2016
"289",2016-05-26,1,0,0,1,5,2016
"290",2016-05-27,1,0,0,1,5,2016
"291",2016-05-28,1,1,0,0,5,2016
"292",2016-05-29,1,1,0,1,5,2016
"293",2016-05-30,1,1,0,1,5,2016
"294",2016-05-31,1,1,0,1,5,2016
"295",2016-06-01,1,1,0,1,6,2016
"296",2016-06-02,1,1,0,1,6,2016
"297",2016-06-03,1,1,0,0,6,2016
"298",2016-06-06,0,0,0,0,6,2016
"299",2016-06-08,1,1,0,0,6,2016
"300",2016-06-09,0,0,0,0,6,2016
"301",2016-06-10,0,0,0,0,6,2016
"302",2016-06-11,1,1,0,0,6,2016
"303",2016-06-12,1,1,0,1,6,2016
"304",2016-06-13,1,0,0,1,6,2016
"305",2016-06-14,0,0,0,0,6,2016
"306",2016-06-15,1,1,0,0,6,2016
"307",2016-06-16,1,1,0,1,6,2016
"308",2016-06-17,1,1,0,1,6,2016
"309",2016-06-18,0,0,0,0,6,2016
"310",2016-06-19,0,0,0,0,6,2016
"311",2016-06-20,0,0,0,0,6,2016
"312",2016-06-21,0,0,0,0,6,2016
"313",2016-06-22,0,0,0,0,6,2016
"314",2016-06-23,0,0,0,0,6,2016
"315",2016-06-24,0,0,0,0,6,2016
"316",2016-06-25,0,0,0,0,6,2016
"317",2016-06-26,0,0,0,0,6,2016
"318",2016-06-27,0,0,0,0,6,2016
"319",2016-06-28,0,0,0,0,6,2016
"320",2016-06-29,0,0,0,0,6,2016
"321",2016-06-30,1,1,0,0,6,2016
"322",2016-07-01,1,1,0,0,7,2016
"323",2016-07-02,1,1,0,1,7,2016
"324",2016-07-03,1,1,0,1,7,2016
"325",2016-07-04,1,0,0,1,7,2016
"326",2016-07-05,0,0,0,0,7,2016
"327",2016-07-06,0,0,0,0,7,2016
"328",2016-07-07,0,0,0,0,7,2016
"329",2016-07-08,1,1,0,0,7,2016
